film_code,cinema_code,tickets_sold,tickets_out,show_time,ticket_use
1492,304,26,0,4,26
1492,352,42,0,5,42
1492,489,32,0,4,32
1492,429,12,0,1,12
1492,524,15,0,3,15
1492,71,7,0,3,7
1492,163,10,0,3,10
1492,450,5,0,3,5
1492,51,11,0,2,11
1492,522,4,0,3,4
1492,43,6,0,3,6
1492,529,4,0,3,4
1492,82,5,0,6,5
1492,344,2,0,3,2
1492,73,2,0,1,2
1492,304,112,0,4,112
1492,352,93,0,5,93
1492,344,68,0,3,68
1492,71,44,0,3,44
1492,163,31,0,3,31
1492,522,20,0,3,20
1492,485,16,0,3,16
1492,524,12,0,3,12
1492,518,14,1,3,13
1492,51,17,0,1,17
1492,448,9,0,2,9
1492,429,12,0,1,12
1492,450,7,0,2,7
1492,489,6,0,3,6
1492,43,11,0,3,11
1492,431,6,0,2,6
1492,529,5,0,2,5
1492,82,2,0,6,2
1492,304,110,0,4,110
1492,163,54,0,4,54
1492,344,36,0,3,36
1492,71,29,3,3,26
1492,352,29,0,6,29
1492,51,31,0,3,31
1492,448,18,0,2,18
1492,429,22,0,1,22
1492,522,11,0,3,11
1492,524,10,0,3,10
1492,43,16,0,3,16
1492,450,6,0,2,6
1492,485,4,0,3,4
1492,82,4,0,6,4
1492,489,2,0,3,2
1492,518,5,0,3,5
1492,304,84,0,4,84
1492,71,54,0,3,54
1492,448,29,0,2,29
1492,163,35,0,4,35
1492,489,21,0,3,21
1492,344,21,0,3,21
1492,51,32,0,3,32
1492,450,20,0,3,20
1492,485,14,0,3,14
1492,522,13,0,3,13
1492,429,18,0,3,18
1492,524,6,0,3,6
1492,431,6,0,2,6
1492,43,8,0,4,8
1492,72,2,0,1,2
1492,82,3,0,6,3
1492,304,29,0,3,29
1492,344,19,0,3,19
1492,71,19,0,3,19
1492,144,31,0,6,31
1492,51,22,0,2,22
1492,485,11,0,3,11
1492,522,11,0,3,11
1492,450,9,0,3,9
1492,352,9,0,6,9
1492,448,8,0,1,8
1492,82,8,0,6,8
1492,163,6,0,3,6
1492,73,3,0,1,3
1492,429,3,0,1,3
1492,456,5,0,2,5
1492,489,2,0,4,2
1492,518,2,0,3,2
1492,43,3,0,3,3
1492,238,7,0,3,7
1492,238,15,0,3,15
1492,312,8,0,1,8
1492,238,7,0,3,7
1492,238,8,0,3,8
1492,238,18,0,3,18
1492,238,10,0,3,10
1492,168,4,0,3,4
1492,238,11,0,3,11
1492,238,8,0,3,8
1492,168,3,0,3,3
1492,238,22,0,3,22
1492,238,15,0,3,15
1492,238,14,0,3,14
1492,238,47,0,3,47
1492,238,15,0,3,15
1492,168,4,0,3,4
1492,238,20,0,3,20
1492,168,5,0,3,5
1492,168,4,0,3,4
1492,352,10,0,1,10
1492,489,5,0,1,5
1492,168,5,0,3,5
1492,489,8,0,1,8
1492,489,33,0,1,33
1492,168,10,0,3,10
1492,254,6,0,2,6
1492,214,5,0,1,5
1492,168,4,0,3,4
1492,254,4,0,2,4
1492,214,5,0,4,5
1492,312,4,0,1,4
1492,489,10,0,1,10
1492,168,6,0,3,6
1492,254,2,0,2,2
1492,489,25,0,1,25
1492,168,4,0,3,4
1492,214,12,0,4,12
1492,254,2,0,2,2
1492,168,4,0,3,4
1492,254,3,0,2,3
1492,214,3,0,4,3
1492,489,19,0,1,19
1492,168,4,0,3,4
1492,254,2,0,2,2
1492,168,6,0,3,6
1492,214,3,0,4,3
1492,254,2,0,2,2
1492,489,38,0,3,38
1492,352,13,0,1,13
1492,168,10,0,3,10
1492,254,11,0,2,11
1492,214,6,0,3,6
1492,489,4,0,2,4
1492,254,6,0,2,6
1492,254,24,0,6,24
1492,489,21,0,3,21
1492,168,8,0,3,8
1492,214,8,0,4,8
1492,474,17,0,1,17
1492,352,15,0,1,15
1492,489,9,0,3,9
1492,168,8,0,3,8
1492,214,8,0,4,8
1492,254,2,0,6,2
1492,489,22,0,3,22
1492,254,23,0,6,23
1492,214,4,0,4,4
1492,352,1,0,1,1
1492,254,24,0,6,24
1492,214,7,0,4,7
1492,489,2,0,3,2
1492,489,60,0,3,60
1492,474,40,0,1,40
1492,352,12,0,1,12
1492,445,9,0,1,9
1492,300,11,0,1,11
1492,254,8,0,2,8
1492,214,10,0,4,10
1492,489,4,0,3,4
1492,214,8,0,4,8
1492,254,5,0,2,5
1492,362,3,0,2,3
1492,489,7,0,3,7
1492,254,5,0,2,5
1492,474,4,0,1,4
1492,362,3,0,2,3
1492,474,11,0,1,11
1492,362,7,0,2,7
1492,489,6,0,3,6
1492,324,2,0,2,2
1492,489,14,0,3,14
1492,362,9,0,2,9
1492,324,1,0,2,1
1492,489,14,0,3,14
1492,445,4,0,1,4
1492,452,2,0,1,2
1492,362,2,0,2,2
1492,291,11,0,7,11
1492,479,7,0,2,7
1492,210,6,0,2,6
1492,452,3,0,1,3
1492,428,5,0,2,5
1492,277,3,0,1,3
1492,304,107,0,1,107
1492,344,54,0,3,54
1492,489,30,0,4,30
1492,291,71,0,7,71
1492,352,25,0,1,25
